n,accuracy,precision,recall,f1,fpr,tnr,TN,FP,FN,TP,threshold
182382,0.7650042219078638,0.8127085061284675,0.7964650524281315,0.8045047962669855,0.28360708354847264,0.7163929164515274,51336,20323,22536,88187,0.45
182382,0.7650042219078638,0.8127085061284675,0.7964650524281315,0.8045047962669855,0.28360708354847264,0.7163929164515274,51336,20323,22536,88187,0.46
182382,0.7168251252864866,0.9990876066570922,0.5340444171491018,0.696035501565553,0.0007535689864497132,0.9992464310135503,71605,54,51592,59131,0.47
182382,0.716819642289261,0.9990875912408759,0.5340353856019074,0.696027826987705,0.0007535689864497132,0.9992464310135503,71605,54,51593,59130,0.48
182382,0.7168141592920354,0.9990875758241387,0.5340263540547131,0.6960201523195177,0.0007535689864497132,0.9992464310135503,71605,54,51594,59129,0.49
182382,0.7168141592920354,0.9990875758241387,0.5340263540547131,0.6960201523195177,0.0007535689864497132,0.9992464310135503,71605,54,51594,59129,0.5
182382,0.7168141592920354,0.9990875758241387,0.5340263540547131,0.6960201523195177,0.0007535689864497132,0.9992464310135503,71605,54,51594,59129,0.51
182382,0.716819642289261,0.9991044574363827,0.5340263540547131,0.6960242488449428,0.000739614005219163,0.9992603859947808,71606,53,51594,59129,0.52
182382,0.7155256549440187,0.9999830053363244,0.5314252684627403,0.6940229410550527,1.3954981230550245e-05,0.9999860450187694,71658,1,51882,58841,0.53
182382,0.7155256549440187,0.9999830053363244,0.5314252684627403,0.6940229410550527,1.3954981230550245e-05,0.9999860450187694,71658,1,51882,58841,0.54
182382,0.7155311379412442,1.0,0.5314252684627403,0.6940270340402444,0.0,1.0,71659,0,51882,58841,0.55
182382,0.7155311379412442,1.0,0.5314252684627403,0.6940270340402444,0.0,1.0,71659,0,51882,58841,0.56
182382,0.7155311379412442,1.0,0.5314252684627403,0.6940270340402444,0.0,1.0,71659,0,51882,58841,0.57
182382,0.7155311379412442,1.0,0.5314252684627403,0.6940270340402444,0.0,1.0,71659,0,51882,58841,0.58
182382,0.7155311379412442,1.0,0.5314252684627403,0.6940270340402444,0.0,1.0,71659,0,51882,58841,0.59
182382,0.7155311379412442,1.0,0.5314252684627403,0.6940270340402444,0.0,1.0,71659,0,51882,58841,0.6
182382,0.7155311379412442,1.0,0.5314252684627403,0.6940270340402444,0.0,1.0,71659,0,51882,58841,0.61
182382,0.715520171946793,1.0,0.5314072053683516,0.6940116299642608,0.0,1.0,71659,0,51884,58839,0.62
182382,0.715520171946793,1.0,0.5314072053683516,0.6940116299642608,0.0,1.0,71659,0,51884,58839,0.63
182382,0.715520171946793,1.0,0.5314072053683516,0.6940116299642608,0.0,1.0,71659,0,51884,58839,0.64
182382,0.715520171946793,1.0,0.5314072053683516,0.6940116299642608,0.0,1.0,71659,0,51884,58839,0.65
182382,0.7155146889495674,1.0,0.5313981738211573,0.6940039277899989,0.0,1.0,71659,0,51885,58838,0.66
182382,0.7155037229551162,1.0,0.5313801107267686,0.6939885231689265,0.0,1.0,71659,0,51887,58836,0.67
182382,0.7154927569606649,1.0,0.5313620476323799,0.6939731181844454,0.0,1.0,71659,0,51889,58834,0.68
182382,0.7154817909662138,1.0,0.5313439845379913,0.6939577128365427,0.0,1.0,71659,0,51891,58832,0.69
182382,0.7154817909662138,1.0,0.5313439845379913,0.6939577128365427,0.0,1.0,71659,0,51891,58832,0.7
182382,0.7154763079689882,1.0,0.5313349529907968,0.6939500100263043,0.0,1.0,71659,0,51892,58831,0.71
182382,0.7154708249717625,1.0,0.5313259214436025,0.6939423071252057,0.0,1.0,71659,0,51893,58830,0.72
182382,0.7154488929828602,1.0,0.5312897952548251,0.6939114946121769,0.0,1.0,71659,0,51897,58826,0.73
182382,0.7154105120022809,1.0,0.5312265744244646,0.6938575692158875,0.0,1.0,71659,0,51904,58819,0.74
182382,0.7153940630106042,1.0,0.5311994797828816,0.6938344569686031,0.0,1.0,71659,0,51907,58816,0.75
182382,0.7153776140189273,1.0,0.5311723851412986,0.6938113439033599,0.0,1.0,71659,0,51910,58813,0.76
182382,0.7153337500411224,1.0,0.5311001327637438,0.6937497050634703,0.0,1.0,71659,0,51918,58805,0.77
182382,0.7152844030660921,1.0,0.5310188488389946,0.6936803544145494,0.0,1.0,71659,0,51927,58796,0.78
182382,0.7151966751104823,1.0,0.530874344083885,0.6935570461879731,0.0,1.0,71659,0,51943,58780,0.79
182382,0.7151637771271288,1.0,0.5308201548007189,0.6935107996011729,0.0,1.0,71659,0,51949,58774,0.8
182382,0.715147328135452,1.0,0.5307930601591359,0.6934876750799438,0.0,1.0,71659,0,51952,58771,0.81
182382,0.7145990284128916,1.0,0.5298899054397008,0.6927163890102365,0.0,1.0,71659,0,52052,58671,0.82
182382,0.7145990284128916,1.0,0.5298899054397008,0.6927163890102365,0.0,1.0,71659,0,52052,58671,0.83
182382,0.7024103255803753,1.0,0.5098127760266611,0.6753324440243822,0.0,1.0,71659,0,54275,56448,0.84
182382,0.7023883935914729,1.0,0.5097766498378837,0.6753007471570346,0.0,1.0,71659,0,54279,56444,0.85
182382,0.7022732506497352,1.0,0.5095869873468024,0.6751343137137592,0.0,1.0,71659,0,54300,56423,0.86
182382,0.702262284655284,1.0,0.5095689242524137,0.6751184607284737,0.0,1.0,71659,0,54302,56421,0.87
182382,0.7022458356636072,1.0,0.5095418296108306,0.6750946805391854,0.0,1.0,71659,0,54305,56418,0.88
182382,0.7022019716858023,1.0,0.5094695772332758,0.6750312625274482,0.0,1.0,71659,0,54313,56410,0.89
